Gender,Number_of_Victims,Source_Year,Department,Data_Source,Page
F,75,2010-2011,NGO - ECSAF,ECSAF Annual Report 2010-2011.pdf,20
M,18,2010-2011,NGO - ECSAF,ECSAF Annual Report 2010-2011.pdf,20
F,68,2011-2012,NGO - ECSAF,ECSAF Annual Report 2011-2012.pdf,20
M,17,2011-2012,NGO - ECSAF,ECSAF Annual Report 2011-2012.pdf,20
F,74,2012-2013,NGO - ECSAF,ECSAF_Annual Report 2012-2013.pdf,22
M,16,2012-2013,NGO - ECSAF,ECSAF_Annual Report 2012-2013.pdf,22
F,62,2013-2014,NGO - ECSAF,ECSAF_Annual Report 2013-2014.pdf,24
M,21,2013-2014,NGO - ECSAF,ECSAF_Annual Report 2013-2014.pdf,24
F,77,2014-2015,NGO - ECSAF,ECSAF-Annual-Report-2014-15.pdf,24
M,28,2014-2015,NGO - ECSAF,ECSAF-Annual-Report-2014-15.pdf,24
F,72,2015-2016,NGO - ECSAF,ECSAF-Annual-Report-2015-16.pdf,24
M,23,2015-2016,NGO - ECSAF,ECSAF-Annual-Report-2015-16.pdf,24
F,47,2016-2017,NGO - ECSAF,ECSAF-Annual-Report-2016-17.pdf,24
M,22,2016-2017,NGO - ECSAF,ECSAF-Annual-Report-2016-17.pdf,24
F,53,2017-2018,NGO - ECSAF,ECSAF-Annual-Report-2017-18.pdf,24
M,19,2017-2018,NGO - ECSAF,ECSAF-Annual-Report-2017-18.pdf,24
Unknown,1,2017-2018,NGO - ECSAF,ECSAF-Annual-Report-2017-18.pdf,24
F,46,2018-2019,NGO - ECSAF,ECSAF-Annual-Report-2018-19.pdf,24
M,10,2018-2019,NGO - ECSAF,ECSAF-Annual-Report-2018-19.pdf,24
Unknown,1,2018-2019,NGO - ECSAF,ECSAF-Annual-Report-2018-19.pdf,24
F,22,2019-2020,NGO - ECSAF,ECSAF-Annual-Report-2019-2020年報.pdf,21
M,8,2019-2020,NGO - ECSAF,ECSAF-Annual-Report-2019-2020年報.pdf,21
F,37,2020-2021,NGO - ECSAF,ECSAF-Annual-Report-2020-21-1.pdf,21
M,6,2020-2021,NGO - ECSAF,ECSAF-Annual-Report-2020-21-1.pdf,21
Unknown,1,2020-2021,NGO - ECSAF,ECSAF-Annual-Report-2020-21-1.pdf,21
F,28,2021-2022,NGO - ECSAF,ECSAF-Annual Report 2021-2022.pdf,21
M,9,2021-2022,NGO - ECSAF,ECSAF-Annual Report 2021-2022.pdf,21
Unknown,1,2021-2022,NGO - ECSAF,ECSAF-Annual Report 2021-2022.pdf,21
F,40,2022-2023,NGO - ECSAF,ECSAF-Annual-Report-2022-23.pdf,21
M,10,2022-2023,NGO - ECSAF,ECSAF-Annual-Report-2022-23.pdf,21
Unknown,0,2022-2023,NGO - ECSAF,ECSAF-Annual-Report-2022-23.pdf,21
F,21,2023-2024,NGO - ECSAF,ECSAF-Annual-Report-2023-24.pdf,20
M,3,2023-2024,NGO - ECSAF,ECSAF-Annual-Report-2023-24.pdf,20
Unknown,0,2023-2024,NGO - ECSAF,ECSAF-Annual-Report-2023-24.pdf,20
