Age,Number_of_Cases,Source_Year,Department,Data_Source,Page
0-5,26,2016,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
6-11,100,2016,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
12-16,351,2016,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
0-5,17,2017,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
6-11,89,2017,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
12-16,372,2017,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
0-5,15,2018,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
6-11,117,2018,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
12-16,324,2018,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
0-5,27,2019,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
6-11,94,2019,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
12-16,301,2019,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
0-5,13,2020,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
6-11,80,2020,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
12-16,293,2020,Police,HKP Overall Child Abuse Cases 2016 2021 Nov_recvd2022-01-14.pdf,1
0-5,24,2021,Police,HKP Child Sexual Abuse Figures 2021.pdf,1
6-11,143,2021,Police,HKP Child Sexual Abuse Figures 2021.pdf,1
12-16,432,2021,Police,HKP Child Sexual Abuse Figures 2021.pdf,1
0-5,14,2022,Police,HKP Child Sexual Abuse Figure 2022 Updated.pdf,1
6-11,110,2022,Police,HKP Child Sexual Abuse Figure 2022 Updated.pdf,1
12-16,454,2022,Police,HKP Child Sexual Abuse Figure 2022 Updated.pdf,1
0-5,15,2023,Police,HKPF CSA Statistics 2023-24.txt,1
6-11,176,2023,Police,HKPF CSA Statistics 2023-24.txt,1
12-16,505,2023,Police,HKPF CSA Statistics 2023-24.txt,1
0-5,19,2024,Police,HKPF CSA Statistics 2023-24.txt,1
6-11,159,2024,Police,HKPF CSA Statistics 2023-24.txt,1
12-16,485,2024,Police,HKPF CSA Statistics 2023-24.txt,1
